"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12394","DeAndre Carter","HOU","WR",27,5,"WR","weighted",13.4651001540832,164,0.0974339629277132,0.371231060122936,13.8,14.2720923913043,25,-144.644368168673,558,-124.05,518,-165.258218241716,564
"12417","Josh Lambo","JAC","K",30,5,"K","weighted",104.765712180194,16,1.2400958811907,22.7161352508367,76.1949572069059,122.449149068323,1,-5.88857121034221,129,-15.5602947925162,152,-8.94532386087474,137
"12429","DeAndrew White","BAL","WR",29,5,"WR","weighted",2.884,202,0.212,NA,2.884,2.884,46,-155.225468322756,596,-134.966,570,-176.646310633021,603
"12437","Jason Myers","SEA","K",29,6,"K","weighted",105.046277633533,15,0.708918574886411,22.3723680467079,78.4462100456621,126.846944485227,1,-5.60800575700321,126,-13.30904195376,140,-4.54752844397115,125
"12443","Jake Kumerow","FA","WR",28,3,"WR","weighted",28.1,133,0.668133869059826,NA,28.1,28.1,19,-130.009468322756,525,-109.75,478,-151.430310633021,521
"12444","Rod Smith","FA","RB",28,5,"RB","weighted",14.9499044684129,121,0.952187994139789,15.6772644456869,3.779,23.7498503058104,13,-113.775535073451,452,-106.538,446,-131.347510593359,451
"12447","Raheem Mostert","SFO","RB",28,5,"RB","weighted",184.64359759163,23,7.64032877194418,35.337102960677,148.1,225.672207646112,5,55.9181580497663,33,37.783,52,70.5748467469424,30
"12464","Damiere Byrd","NEP","WR",27,5,"WR","weighted",56.5256420233463,111,0.158837072821754,13.3531337693069,48.1,68.861244648318,16,-101.58382629941,401,-89.75,334,-110.669065984703,402
"12471","Seth Roberts","CAR","WR",29,6,"WR","weighted",15.6848307392996,158,0.80657481830627,5.00085853634776,12.1,20.3550678899083,24,-142.424637583456,552,-125.75,524,-159.175242743112,557
"12479","Khari Lee","FA","TE",28,5,"TE","weighted",6.33642835130971,113,0.321927580893682,1.0882373362461,5.561,6.94727660550459,17,-117.36428383187,468,-101.412333333333,403,-137.086400737319,472
"12505","Adam Humphries","TEN","WR",27,5,"WR","weighted",86.535576487053,85,4.05603118311501,18.3326547748372,68.851,111.139909090909,11,-71.573891835703,308,-68.999,274,-68.3904015421115,307
"12585","Daniel Brown","NYJ","TE",28,5,"TE","weighted",8.15,110,0.380909090909091,NA,8.15,8.15,17,-115.550712183179,459,-98.8233333333333,388,-135.883677342823,466
"12586","Darius Jennings","FA","WR",28,5,"WR","weighted",2.45,207,0.288836671802774,NA,2.45,2.45,49,-155.659468322756,601,-135.4,575,-177.080310633021,608
"12610","Carson Wentz","PHI","QB",28,4,"QB","weighted",283.656938583945,11,5.75184353543,23.8742519621789,257.72,320.884647115428,5,7.80095129222258,90,1.25333333333333,102,13.6155429282165,80
