"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"12110","Cameron Brate","TBB","TE",29,6,"TE","weighted",38.0002874432678,46,3.33767751257399,14.199249227387,21.985,54.8080454545455,7,-56.4179033077381,297,-59.412,282,-55.8552734664983,304
"12140","Jameis Winston","NOS","QB",26,5,"QB","weighted",38.0960346659755,37,3.6495837238314,52.0100103225795,6.8,98.8100917431192,10,-226.739080506313,624,-236.973333333333,617,-197.924587000846,626
"12141","Marcus Mariota","LVR","QB",27,5,"QB","weighted",39.9534472934473,36,2.25560945309805,32.2070613781506,11.56,69.5776090909091,10,-224.881667878841,623,-232.213333333333,601,-227.157069653056,627
"12142","Brett Hundley","ARI","QB",27,5,"QB","weighted",13.7129955290611,51,1.22860300404514,3.18198051533946,11.52,15.5583027522936,10,-251.122119643227,638,-232.253333333333,602,-281.176375991671,645
"12145","Sean Mannion","MIN","QB",28,5,"QB","weighted",5.83872515932155,69,1.14259049606132,7.60211025540052,-2.077,12.0438522427441,11,-258.996390012967,656,-245.850333333333,645,-284.690826501221,652
"12150","Todd Gurley","ATL","RB",26,5,"RB","weighted",199.313770889003,14,4.14902065502372,31.7910917810759,166.1,246.609017179306,3,84.4979098881353,16,67.4533333333333,22,109.339894632678,15
"12151","Melvin Gordon","DEN","RB",27,5,"RB","weighted",177.881829438103,19,4.11301284443132,43.0660448729789,151.9,242.67768369,4,63.0659684372351,25,53.2533333333333,31,105.408561143372,17
"12152","Tevin Coleman","SFO","RB",27,5,"RB","weighted",115.178905150607,35,2.72968519391139,12.9248797901945,103.821,133.841666142819,7,0.363044149739665,106,5.17433333333334,89,-3.42745640380949,124
"12153","T.J. Yeldon","BUF","RB",27,5,"RB","weighted",31.6077908689249,94,1.82610745211969,26.3530466351296,6.94,57.1355351681957,13,-83.2080701319425,402,-91.7066666666667,459,-80.1335873784324,367
"12155","Ameer Abdullah","MIN","RB",27,5,"RB","weighted",11.4603389830508,122,0.260338983050845,7.47411867714181,6.73,16.2510810397554,15,-103.355522017817,483,-91.9166666666667,461,-121.018041506873,495
